manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
יונדאי,2014,i30,4,אוטומטית,1600,בנזין,,,ראש העין והסביבה,אלעד,37000.0,1.0,21/10/2022,21/10/2022,['הרכב במצב מעולה ממש נוסע טוב יש לו חווית נסיעה מעולה לא עושה בעיות &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; יש לו מערכת מולטימדיה טובה'],,193000,,
ב.מ.וו,2006,סדרה 5,6,אוטומטית,3000,בנזין,פרטית,פרטית,,עין מאהל,25000.0,3.0,22/04/2024,22/04/2024,[nan],כחול,280000,78,98.0
קיה,2019,פיקנטו,1,אוטומטית,1300,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,75000.0,1.0,18/10/2021,18/10/2021,['רכב שמור ומטופל היטב בחברה מורשת דגם GT line מפואר'],לבן,35000,,
קיה,2014,פיקנטו,3,אוטומטית,1200,בנזין,פרטית,פרטית,מודיעין והסביבה,מודיעין,31000.0,9.0,21/05/2022,21/05/2022,"['רכב שמור ומטופל, נוסע מעולה, מזגן מקפיא, מולטימדיה, חיישני רוורס, מגנזיום, נקי מתאונות, מאשה מבוגרת שש שנים. טסט ל10 חודשים מחיר מתחת למחירון תוספות דגם EX מאובזר']",בז',180000,,14.0
הונדה,2011,JAZZ,1,רובוטית,1300,בנזין,,,פרדס חנה - כרכור,פרדס חנה כרכור,26000.0,1.0,27/08/2022,27/08/2022,"['  הערות: מכונית נהדרת! מרווחת בפנים, קטנה בחוץ. נהגת יחידה. טסט ל 8 חדשים. 2 ח""ח, רדיו-דיסק מקורי, התראת רברס, ABS, כריות אויר, נעילה מרכזית+אזעקה, טלפון. מצבר חדש, מנוע 2013 מושבים אחוריים מתקפלים ומגדילים מאד את המקום למטען']",,197000,,1075.0
מיני,2013,קאונטרימן,2,אוטומטית,1600,בנזין,אחר,פרטית,אשדוד - אשקלון,אשדוד,70000.0,4.0,22/05/2022,22/05/2022,['רכב במצב מעולה מטופל טוב עם קילומטרז נמוך לשנתו לפרטים נוספים צרו קשר'],לבן,70000,,
קיה,2016,פיקנטו,1,אוטומטית,1250,בנזין,,,פתח תקוה והסביבה,פתח תקווה,55000.0,1.0,14/08/2022,14/08/2022,"['שמור , חדש']",,21000,,24.0
יונדאי,2019,i10,1,אוטומטית,1200,בנזין,,,ירושלים והסביבה,מבשרת ציון,60000.0,0.0,17/08/2022,17/08/2022,"['יד ראשונה מליסינג ,שמור במצב מעולה.']",,64000,,
סוזוקי,2020,סוזוקי סוויפט,2,אוטומטית,1242,בנזין,,,None,haifa,84500.0,1.0,20/06/2022,20/06/2022,"['רכב במצב מצויין עם כל התוספות GLX נקי ללא כל תאונה. עדיין באחריות חברה עד ינואר 23. טסט ינואר 23 .רכב חסכוני עלויות אחזקה נמוכות\r  &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטי מדיה, גלגלי מגנזיום,מערכת עזר לבלמים בקרת יציבות ,חישני מובילאיי מצלמה מובנת לחניה,מצלמת דרך קדמית ואחורית,']",None,18000,,
פולקסווגן,2011,פולו,3,אוטומטית,1200,בנזין,פרטית,פרטית,בקעת אונו,יהוד מונוסון,21900.0,4.0,10/12/2023,10/12/2023,"['פולקסווגן פולו 💥\nשנת 2011💥\nמנוע 1200 טורבו 💥\nקמ 185 💥\nטסט 06/24💥\nיד 03💥\nהרכב הכי שמור בארץ התחייבות בבדיקה 💥\nהאוטו מפוצץ תוספות הנעה משלט הנעה מכפתור 💥💥💥\nמערכת מולטימדיה מצלמת דרך חיישני רווס חימום בכיסאות שליטה מהגה מגני רוח מערכת מובילאי 💥\n🔥מנוע גיר שילדה בהתחייבות 🔥\nאין להשיג רכבים כאלה בכל הארץ💥\n🔥מחיר 21,900🔥']",אפור מטאלי,185000,,
סובארו,2015,XV,2,אוטומטית,1600,בנזין,,,,כפר מנדא,60000.0,14.0,29/06/2022,29/06/2022,"['רכב שמור ומטופל במוסך מורשה\r\nמצ""ב מצויין']",,55000,,371.0
טויוטה,2017,קורולה,1,אוטומטית,1598,בנזין,,,חיפה וחוף הכרמל,עספיא,90000.0,2.0,17/07/2022,17/07/2022,['רכב שמור ומטופל בחברה יחד עם ספר טיפולים ואחריות . &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; חלונות שחורים'],,80000,,
מאזדה,2015,מאזדה 2,3,אוטומטית,1500,בנזין,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,46000.0,3.0,03/01/2023,23/05/2023,"['רכב שמור וחסכוני מטופל בזמן ובקפידה לאחר ברקסים, מתחייב מנוע גיר ושילדה,הדגם עם הגאנטים והחלונות הכהים, יד 02 פרטי,הכל רשום לרציניים בלבד']",אפור,125000,,3349.0
יונדאי,2018,i25,1,אוטומטית,1400,בנזין,פרטית,פרטית,אשדוד - אשקלון,אשקלון,66000.0,7.0,21/09/2023,26/09/2023,"['רכב במצב חדש,\nמוביליי,מולטימדיה מקורית,\nללא תאונות,מצבר חדש,יד 1.']",אפור מטאלי,55100,,
אופל,2013,אסטרה,1,אוטומטית,1400,בנזין,,,תל אביב,תל אביב יפו,30000.0,1.0,08/09/2022,08/09/2022,"['מצב מעולה, ללא תאונות, מטופל סדיר במוסך מורשה, רכב שני במשפחה, רישוי לשנה.']",,102000,,
סקודה,2016,"סקודה פאביה
 (2016)",2,אוטומטית,"1,197",בנזין,,,,שריד,55000.0,1.0,07/10/2022,07/10/2022,"['רכב כמו חדש , שמור ללא עבר תאונות\r\nמצלמת רוורס , 110 כס , כפתור התנעה']",,"112,000",,
מיצובישי,2015,אטראז',2,אוטומטית,,בנזין,,,יישובי השומרון,עץ אפרים,26000.0,1.0,27/10/2022,27/10/2022,"['רכב במצב מעולה טסט לשנה.יד 1 ליסינג יד 2 פרטי מנכה. שמור מאדגלגלים חדשים מערכת מולטימדיה מצלמת דרך. פירוט: מערכת מולטימדיה, מוביליי ']",,,,
קיה,2016,נירו,2,אוטומטית,1400,בנזין,ליסינג,פרטית,רמת השרון - הרצליה,הרצליה,36000.0,6.0,29/05/2023,01/06/2023,"[""למכירה קיה ריו הצ'בק 2016 יד 2 נפח 1400 קילומטרז 145,000 כולל 4 צמיגים חדשים כולל מערכת מולטימדיה כולל מצבר חדש לפנות בפרטי רק רציניים ! תוספות מולטימדיה תואם מקור""]",שחור,145000,,1.0
קיה,2017,פיקנטו,2,אוטומטית,1200,בנזין,פרטית,פרטית,אשדוד - אשקלון,אשקלון,50000.0,5.0,15/04/2024,15/04/2024,"['רכב שמור ביותר , יד שניה , 160,000 קילומטראז׳ \nגמישות במחיר לרציניים']",כסוף,160000,82,
מרצדס,2002,220,3,אוטומטית,3200,בנזין,,,בית שמש והסביבה,בית שמש,21000.0,,15/07/2022,15/07/2022,['רכב מושלם שמור בצורה קיצונית. כן קיצונית! כל העור ברכב שמור כל הכפתורים עובדים. 3 בולמים חדשים \r\nמאוורר חדש ידית גיר חדשה. משאבת אוויר מרצדס חדשה קירור מים חדש ועוד… &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; צריך לטפל \r\n*גג \r\n*בולם קידמי צד שמאל תקין אבל מומלץ להחליף'],,299,,
פולקסווגן,2012,ג`טה,2,אוטומטית,1200,בנזין,,,,טייבה משולש,27000.0,1.0,04/07/2022,04/07/2022,"['Volkswagen Jetta \r\n\r\nמודיל : 2012\r\n\r\nמחרון : 36,000\r\n\r\nדרוש: 25,000\r\n\r\nק,מ : 200.000\r\n\r\nמספר טלפון: 0507970626\r\n\r\nלא חסיר בורגי (צמיגים חדשים )\r\n(טיפול בזמן) אוטו חדש?? &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; טורבו בנזין (1200)\r\n\r\nאוטו חדש']",,200,,
מאזדה,2010,מאזדה 3,2,אוטומטית,1600,בנזין,פרטית,פרטית,מודיעין והסביבה,מודיעין מכבים רעות,27000.0,11.0,30/11/2023,30/11/2023,"['מאזדה 3 הצורה החדשה,\nקילומטראז׳ - 165,000,\nיד - 2,\nמגיע עם מולטימדיה מהממת שעלתה 2,500 ש״ח,\nעברה טסט לפני חודש - עד 12/2024,\n\nהרכב שמור ומטופל - אין עוד מאזדה כזאת בארץ במצב כזה\n\nניתן לפנות גם בווטסאפ - 0526074787\n\nגניש לקונה רציני ']",כחול,160,176,16508.0
טויוטה,2014,קורולה,2,אוטומטית,1600,בנזין,,,,אילת השחר,62000.0,2.0,11/10/2022,11/10/2022,['None'],,1000,,
אלפא רומיאו,2011,אלפא רומיאו 159,2,רובוטית,3000,בנזין,,,גליל ועמקים,נצרת עילית,36000.0,1.0,44744,44744,"['על הרכב\r\n159 2.2 סלסלפיד רמת גימור TI . אחרי קלאץ, טסט לשנה, עבר חלק. הוחלף החודש בולמים קדמיים, מוטות קישור למוט מייצב, צירייה ימין+שמול , מחזיר שמן צירייה, שמן גיר, טיפול שמן ופילטר שמן, ניקוי מצערת, ניקוי pcv, צינור שמן הגה ותושבת מנוע עליונה. הרכב במצב מצויין']",,140000,,
קיה,2014,פיקנטו,1,ידנית,1000,בנזין,פרטית,פרטית,חדרה וישובי עמק חפר,אחיטוב,24900.0,3.0,26/03/2022,02/06/2022,"['לא עבר תאונות, נראה טוב ומטופל היטב, רכב זריז מאד וקל לנהיגה, שומר היטב על ערכו תוספות בלמים חדשים, מצבר חדש עם אחריות, צמיגים בני שנה, פילטר מזגו חדש']",אדום,127000,,14.0
אלפא רומיאו,2012,אלפא רומיאו מיטו / MITO,3,ידנית,1400,בנזין,פרטית,פרטית,באר שבע והסביבה,באר שבע,24999.0,9.0,44715,44715,['??למכירה??\n??אלפא רומיאו מיטו??\n??שנת 2012\n??מנוע 1400 \n??יד 3 (02 ברישיון)\n??ידנית??\n??עם 118 אלף קמ\n??טסט לשנה\n??נהג יחיד\nשמורה מאוד\nעברה טיפול פילטרים ושמן\nללא תאונות\nגמיש ליד הרכב'],אפור,122000,,
שברולט,2018,אקווינוקס,1,אוטומטית,"1,470",בנזין,,,חולון - בת ים,חולון,84000.0,1.0,23/07/2022,23/07/2022,['רכב שמור נעשה לו טיפול יסודי מוכר בגלל שהזמנתי רכב חדש גמיש קצת'],,93000,,
קיה,2019,ריו,3,אוטומטית,,בנזין,,,באר שבע והסביבה,באר שבע,70000.0,1.0,22/09/2022,22/09/2022,"['קיה ריו סוף 2019 הדגם החזק האצב\'ק GX אוט\' 1.0 ( 120 כ""ס), רכב מעולה ואמין, מתחייבת בבדיקה למנוע גיר ושלדה.']",,66000,,
יונדאי,2019,איוניק,2,אוטומטית,1600,בנזין,חברה,פרטית,חולון - בת ים,אזור,82000.0,4.0,07/06/2023,07/06/2023,['יונדאי יוניק הייברידי\nיד-2\nדגם- פרימיום\nשנת - /2019\nקמ׳ 100000\nמנוע- 1600\nאוטו שמור חסכוני מפנק\nליסינג לשעבר*\n*התחייבות מלאה בבדיקה.'],לבן,100000,,
פיג'ו,2016,208,3,רובוטית,1200,בנזין,פרטית,פרטית,מושבים בשרון,שער אפרים,25000.0,3.0,20/05/2024,06/05/2024,"['[\'חדשה !! . זריזה מאוד . שקטה וקלה לנהיגה .\', ""תוספות מובילאיי מסך טאץ\' ווייז מצלמה אחורית בלוטוס חיישני חנייה ......""]']",שחור,99000,267,2028.0
אאודי,2009, A6,3,אוטומטית,2800,בנזין,פרטית,פרטית,רמת גן - גבעתיים,בני ברק,29000.0,2.0,14/01/2023,14/01/2023,"['רכב שמור מאוד פנימי וחיצוני התמונות מדברות ק""מ נמוך. לרציניים בלבד. גמיש קצת במעמד המכירה. כל הקודם זוכה. לא בשבת']",שחור,165000,,
הונדה,2015,ACCORD,2,אוטומטית,2000,בנזין,ליסינג,פרטית,כרמיאל והסביבה,כרמיאל,57000.0,1.0,22/11/2021,22/11/2021,['..'],שחור,130000,,474.0
ניסאן,2011,ניסאן ג'וק JUKE,4,אוטומטית,1600,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,28000.0,0.0,05/08/2022,04/08/2022,"['שמור ומיוחד, לבוא לראות ולקחת מתחייב בבדיקה גמיש בקטנה ליד הרכב']",שחור,135000,,
סקודה,2014,סקודה סופרב (2014),2,אוטומטית,"1,800",בנזין,אחר,פרטית,ירושלים והסביבה,ירושלים,40000.0,5.0,02/02/2022,02/02/2022,['סקודה סופרב 2014 מנוע 1800 טורבו \n\n158 אלף קילומטר \n160 כוח סוס\nטסט לשנה \nעלה לכביש ב11/2014\nמערכת מולטימדיה \nבקרת שיוט \nרכב נקי מתאונות \nעובר בדיקה בקלות \nרכב הצגה רק לבוא לקחת \nוכל מילה מעבר מיותרת'],לבן,"158,600",,
הונדה,2015,סיוויק האצ'בק החדשה,2,אוטומטית,1800,בנזין,לא מוגדר,לא מוגדר,רמת השרון - הרצליה,הרצליה,65000.0,1.0,31/08/2022,31/08/2022,['הונדה סיוויק האצבק החדשה\r\nדגם ספורט\r\nיד 2 פרטי &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; בלוטוס ומצלמת רוורס'],,57000,,
סובארו,2014,אימפרזה,3,אוטומטית,1600,בנזין,פרטית,פרטית,באר שבע והסביבה,באר שבע,25000.0,25.0,30/11/2023,25/04/2024,['סובארו אימפרזה\nמודל 2014 יד 3 השכרה לשעבר \n187 אלף קילומטר\nטסט לשנה\nמיחרון 30 אלף'],לבן,187000,174,
הונדה,2018,CIVIC,2,אוטומטית,988,בנזין,,,,קריית אתא,67000.0,1.0,30/06/2022,30/06/2022,['מצב הכי יפה שיש &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; כול החידושים שיש ב2018'],,149000,,2487.0
מאזדה,2008,מאזדה 6,4,אוטומטית,2500,בנזין,פרטית,פרטית,רמלה - לוד,לוד,23000.0,6.0,17/05/2023,17/05/2023,[nan],סגול חציל,218000,,
אופל,2013,אסטרה,3,אוטומטית,1400,בנזין,,,מודיעין והסביבה,שוהם,22000.0,1.0,08/10/2022,08/10/2022,['רכב במצב טוב מטופל וטסט 2/23'],,148214,,
פולקסווגן,1983,חיפושית,3,ידנית,1400,בנזין,,,רמת השרון - הרצליה,הרצליה,40000.0,1.0,20/07/2022,20/07/2022,[nan],,100,,
סקודה,2016,סקודה אוקטביה (2016),2,אוטומטית,"1,200",בנזין,פרטית,פרטית,גליל ועמקים,נצרת,59300.0,1.0,19/11/2022,18/11/2022,['רכב שמור ו יפה'],אפור,"155,000",,
הונדה,2018,CIVIC,2,אוטומטית,1600,בנזין,,,רמת גן - גבעתיים,רמת גן,72000.0,1.0,30/07/2022,30/07/2022,['יד שניה (יד ראשונה מהשכרה). מצב מעולה. דגם אל גנס כולל תוספות &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; סאן רוף. מראות צד אוטומטיות '],,99000,,2487.0
סקודה,2017,ראפיד,2,אוטומטית,1400,בנזין,פרטית,פרטית,נתניה והסביבה,נתניה,45000.0,0.0,45266,45266,"['סקודה ראפיד סוף 2017 רכב יד 2 170 אלף ק""מ']",לבן פנינה,175000,,
מאזדה,2008,6,8,טיפטרוניק,2000,גז,השכרה,פרטית,באר שבע והסביבה,נתיבות,23000.0,5.0,24/07/2022,24/07/2022,['רכב מעולה אחרי טיפול עשרת אלפים וטיפול גדול באלפי שקלים!!'],בורדו,230000,,
מאזדה,2010,מאזדה 3,2,אוטומטית,1600,בנזין,פרטית,פרטית,מודיעין והסביבה,מודיעין מכבים רעות,27000.0,11.0,30/11/2023,30/11/2023,"['מאזדה 3 הצורה החדשה,\nקילומטראז׳ - 165,000,\nיד - 2,\nמגיע עם מולטימדיה מהממת שעלתה 2,500 ש״ח,\nעברה טסט לפני חודש - עד 12/2024,\n\nהרכב שמור ומטופל - אין עוד מאזדה כזאת בארץ במצב כזה\n\nניתן לפנות גם בווטסאפ - 0526074787\n\nגניש לקונה רציני ']",כחול,160,176,16508.0
מאזדה,2013,מאזדה 3,3,אוטומטית,2000,בנזין,חברה,פרטית,קיסריה והסביבה,אור עקיבא,24000.0,2.0,12/07/2023,12/07/2023,['מזדה 3 מנוע 2000 הדגם עם 150 כוח סוס\nמתחייב על בדיקה\nצמיגים חדשים \nמצבר חדש\nנמכר עקב קבלת רכב מהעבודה'],שחור,200000,,736.0
סובארו,2009,B3,2,אוטומטית,2000,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,26500.0,18.0,20/05/2022,13/06/2022,"[""חברים יקרים הרכב יוצא למכירה \nמדובר בסובארו אימפרזה B 3 דגם rxi שנת 2009 מנוע 2000 יד 02 עם 164 אלף ק''מ טסט בינואר 23\nאז ככה מידע על הרכב : \nאחרי טיפול גדול \nלרכב יש פילטר פתוח יש גם את המקורי עם הבית פילטר\nג'אנטים מידה 17 מאושרים ברשיון (מקוריים) \nצבע אפור בטון מאושר ברשיון \nטמבון אחורי של הדגם ספורט \nחצאיות צד \nליפ קדמי יבוא מרוסיה \nטמבון קדמי חדש \nגריל רשת מקורי \nהגה בתפירה אלקנטרה \nציפוי קאמו של כל הפלסטיקה מקדמי \nיש אופציה לקנות גם פנסי ערפל בנוסף \nמערכת שמע עוצמתית סאב בזוקה של jbl בדלתות קדמיות טוויטרים וקומפוננטים של המותג הרץ \nובדלתות האחוריות מקוריים \nהוחלף הרדיו דיסק במולטימדיה \nהוחלפו כל הגומיות של הפרונט הגומיות פוליריתן \nמוטות מייצבים בחדשים כל הפרונט חדש ממש לאחרונה \nהרכב נוסע בצורה טובה מאוד מטופל בחומרים הכי איכותיים שיש בשוק \nצריך קצת קוסמטיקה מבחוץ אבל חוץ מזה הרכב בובה כמעט סוגר 5 שנים עם הרכב ולא רואה מוסך חוץ מטיפולים שוטפים והחלפה של בלאי וזהו\nלפרטים נוספים 052-478-3575 אלכס""]",אפור,164000,,
טויוטה,2013,ורסו,3,אוטומטית,1800,בנזין,פרטית,פרטית,מושבים במרכז,אחיעזר,49000.0,0.0,22/12/2021,22/12/2021,['רכב מצויין שמור מאוד מטופל כהלכה'],אפור עכבר,194000,,
אופל,2020,קורסה,1,אוטומטית,1200,בנזין,,,רמת השרון - הרצליה,רמת השרון,82000.0,1.0,08/09/2022,08/09/2022,['דגם Edition Plus. נהג ונוסע יחיד. ללא תאונות. טופל לפי הספר במוסך מורשה יבואן קמק הרצליה.'],,16500,,
טויוטה,2016,פריוס,2,אוטומטית,1800,היבריד,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,80000.0,0.0,25/05/2024,25/05/2024,"['טויוטה פריוס היברידי \nיד 2 פרטי, בעלות קודמת גם פרטי\n99822 קם\nטסט עד 11/24\nאחריות יצרן על סוללה היברידית עד 11/24\nמצב מעולה']",כחול,99822,140,
סוזוקי,2016,סוזוקי SX4,1,אוטומטית,1600,בנזין,,,מושבים,אבן,69500.0,1.0,30/04/2022,30/04/2022,"['לרגל נסיעה! נדיר! שמור ומטופל במצב מושלם. 49 אלף קילומטר בלבד. עם מערכת מובילאיי לנהיגה בטיחותית ומערכת מולטימדיה וניווט Capetown \r  מבית Blaupunkt. רכב זכיה! 70,000 ש""ח בלבד! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מובילאיי Mobile Eye לנהיגה בטיחותית ומערכת מולטימדיה וניווט Capetown \r  מבית Blaupunkt']",None,49600,,
ב.מ.וו,2006,סדרה 5,3,אוטומטית,2500,בנזין,,,,סח'נין,35000.0,1.0,11/01/2022,11/01/2022,"[""רכב שמור, מטופל במוסך מורשה ,לא נסע הרבה ,ללא תאונות,פשוט רכב נהדר,מוכר עקב קניית רכב חדש, כל הקודם זוכה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג נפתח ,ג'נטים מגנזיום ,ריפודי עור מקוריים כחדשים,מצלמת ריוורס,מע' מולטימדיה חדשה .""]",,220000,,98.0
אאודי,2012,אאודי A1,6,אוטומטית,1400,בנזין,פרטית,פרטית,,בוקעתא,43000.0,8.0,25/09/2023,25/09/2023,"['רכב חסכוני, שמור מאוד מטופל בזמן רק במוסך מורשה.\nבאוטו יש מערכת ניווט, Bluetooth, פנסים S חדשים. האוטו יד שישית אבל עבר שלושה בעלים באותו בית . מוכרת עקב מעבר לA1 חדשה .']",לבן,120000,140,315.0
פולקסווגן,2012,ג`טה,2,אוטומטית,1400,בנזין,,,גליל ועמקים,כפר תבור,37000.0,1.0,10/09/2022,10/09/2022,['&lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; Twin turbo'],,200000,,
קיה,2015,פורטה,2,אוטומטית,1600,בנזין,אחר,פרטית,באר שבע והסביבה,אופקים,36000.0,5.0,11/01/2024,12/01/2024,"['רכב שמור, מטופל בזמן, אמין! תוספות מובילאיי, מצלמה וחיישני רוורס, חלונות אחוריים מושחרים']",אפור,141000,,6.0
אופל,2013,אסטרה,2,אוטומטית,1400,בנזין,,,תל אביב,תל אביב יפו,29000.0,1.0,15/07/2022,15/07/2022,['אופל ספורט שמור מאוד מטופל ללא תאונות או מכות יד 2 נסע 157אלף'],,157000,,
סקודה,2018,ייטי,1,אוטומטית,1600,בנזין,,,,קריית טבעון,70000.0,0.0,44570,44570,['יד אשונה נהג אחד נהג במכונית .'],,98000,,
קיה,2018,פיקנטו,2,אוטומטית,1000,בנזין,ליסינג,פרטית,אשדוד - אשקלון,קרית מלאכי,45000.0,5.0,08/11/2023,08/11/2023,['רכב שמור מאוד \nחסכוני \nאחרי טיפול 10000\nאצלי כ-4 שנים \nהכל מקורי ברכב'],לבן,65000,,
אאודי,2009,אאודי A6,3,אוטומטית,2800,בנזין,פרטית,פרטית,רמת גן - גבעתיים,בני ברק,29000.0,2.0,14/01/2023,14/01/2023,"['רכב שמור מאוד פנימי וחיצוני התמונות מדברות ק""מ נמוך. לרציניים בלבד. גמיש קצת במעמד המכירה. כל הקודם זוכה. לא בשבת']",שחור,165000,,128.0
מאזדה,2014,מאזדה 3,3,טיפטרוניק,1500,בנזין,ליסינג,פרטית,רעננה - כפר סבא,כפר סבא,45000.0,7.0,14/05/2023,14/05/2023,['מזדה 3 2014 מצב מצוין\n טסט עד חודש 8 \n144500 קילומטר \nמצבר חדש \nמשולשים \nברקסים \n\nרכב שלא רואה מוסך'],כחול כהה מטאלי,144500,,6917.0
שברולט,2014,טראקס,2,ידנית,"1,364",בנזין,,,פתח תקוה והסביבה,פתח תקווה,55000.0,1.0,16/07/2022,16/07/2022,['גיפון מעולה ויפהיפה מפרטי שמור מאוד נוח גדול וגם הבגאז רחב. כל הקודם זוכה. מיכל 0546669805 mshemerdgmail.com ltbrgtltbrgtפירוטltbrgt שמור וגדול רכב יפיפה.'],,140000,,
אופל,2015,אדם,1,רובוטית,1400,בנזין,פרטית,פרטית,גליל ועמקים,נצרת,35000.0,1.0,29/10/2022,29/10/2022,"[""אופל אדם למכירה שנת 2015 מנוע 1400 רובוטית, דגם unlimited מאובזרת מאד מערכת מולטימדיה הכוללת אפל קארפליי/אנדרואיד אוטו מצלמת רוורס קילומטרז' 95000 יד ראשונה מהחברה רכב מדהים ביופיו שמור ברמה גבוהה מוכר עקב קבלת רכב מהעבודה מחירון משוקלל לוי יצחק 35,500 ש״ח … גמיש לפרטים:0503535335 עזמי""]",שחור,95000,,
סוזוקי,2016,סוזוקי SX4,3,אוטומטית,1600,בנזין,,,None,ק.אתא,72000.0,1.0,07/08/2022,07/08/2022,['None'],None,140000,,
הונדה,2020,סיוויק האצ'בק,1,אוטומטית,1500,בנזין,אחר,פרטית,אילת והערבה,אילת,95000.0,2.0,07/05/2023,07/05/2023,['גם ספורטיבי וגם משפחתי.'],אפור מטאלי,83000,,
הונדה,2013,CIVIC,3,אוטומטית,1800,בנזין,,,ירושלים והסביבה,ירושלים,36000.0,1.0,18/10/2022,18/10/2022,"['רכב במצב מעולה!   מטופל במוסך של ארתור, יש ספר טיפולים מסודר.  טסט עד מאי, חסכוני מאוד! לשים דלק ולנסוע &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; תוספת כפתור חיסכון בדלק  מערכת סאב   מסך מולטימדיה']",,168000,,3123.0
פולקסווגן,2017,ג'טה,2,אוטומטית,1200,בנזין,ליסינג,פרטית,עמק יזרעאל,עפולה,57000.0,3.0,02/11/2021,02/11/2021,['רכב מטופל כל 10 אלף\r טסט לשנה\r צב לבן נקי ושמור פנים וחוץ\r מערכות מניעת תאונות ועוד'],לבן,140000,,
הונדה,2015,CIVIC,1,אוטומטית,1600,בנזין,פרטית,פרטית,חולון - בת ים,בת ים,49000.0,5.0,28/08/2023,11/03/2024,['שמורה היטב ללא תאונות דגם האצבק '],כסוף,100000,,2951.0
אלפא רומיאו,2015,אלפא רומיאו ג'ולייטה,3,אוטומטית,1800,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,80000.0,10.0,45253,45253,"['אלפא רומיאו ג׳ולייטה תלתן ירוק שנת 2015 הכי מיוחדת בארץ.\nלאנץ אדישן (1/999)\nגמיש מעט\nאחרי יישור קו: קלאצ׳ים חדשים, משאבת מים, טיימינג, ציריות, תושבות, בושינגים למשולשים ועוד… האוטו מכנית מושלם. כל הרכב עיטוף PPF בשווי 20K₪. הרכב משופר עומד על בערך 350 כוח סוס, סטינג 2 +, קוילאוברים KW V2, דיפרנציאל מוגבל החלקה LSD, קיט יניקה GSR, רפידות, צלחות, אינטרקולר מוגדל לטורבו, מוטות מייצבים קדמיים ואחוריים, כיסאות באקט, חלקי קרבון, תאורה ראשית טורבו לד לבן, מערכת מולטימדיה של pioneer עם Car Play אלחוטי, ועוד המון תוספות….']",שחור,180000,,
מאזדה,2009,5,2,אוטומטית,2000,בנזין,,,אשדוד - אשקלון,עוצם,22000.0,1.0,28/05/2022,28/05/2022,['מאזדה 5 7מקומות מנוע חדש מסך DVD מצלמת רוורס'],,,,
הונדה,2014,CIVIC,2,אוטומטית,1798,בנזין,,,רעננה - כפר סבא,רעננה,47200.0,1.0,09/07/2022,09/07/2022,"['מפרטיים.    טסט עד פב 2023 מוביליי מקורי מותקן   חיישני פגוש אחורי מותקנים מטופלת היטב ושמורה במצב מעולה (יש תיק טיפול ברכב)  מושקעת: נעשו תיקוני צבע קלים, שטיחונים יפים, יש דיבורית של מוטורולה, בנוסף לבלוטוס, מתוקה ממש:) &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; ראה לעיל המכונית הכי מתוקה שיש :)']",,148000,,3146.0
טויוטה,2017,פריוס,2,אוטומטית,1800,היברידי,,,אשדוד - אשקלון,אשקלון,73000.0,2.0,28/06/2022,28/06/2022,['כמו חדש הראשון זוכה התחייבות בשלדה'],,160000,,
הונדה,2016,ג`אז,2,אוטומטית,1300,בנזין,לא מוגדר,לא מוגדר,רעננה - כפר סבא,רעננה,51900.0,1.0,08/09/2022,08/09/2022,['רכב במצב מכני מצוין. טופל כל השנים במוסך מורשה. 4 צמיגים חדשים. רכב קטן עם הרבה מקום בפנים. '],,130000,,
טויוטה,2013,קורולה,3,אוטומטית,1600,בנזין,,,עכו - נהריה,נהריה,48000.0,2.0,17/07/2022,17/07/2022,"['טויוטה קורולה דגם sun (132 כ""ס)\r\n- רכב שמור מאוד ובמצב מצויין ללא תאונות!\r\n- יד שלישית (02 ברישיון), 175 אלף ק""מ.\r\n- בעלות פרטית.\r\n- מתחייב בבדיקה - מנוע, גיר ושלדה.\r\n- מצבר חדש וצמיגי מישלין חדשים.\r\n- גמיש מעט במעמד המכירה. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת']",,176000,,
